"","alpha.drop.raw_alpha","alpha.drop.std.alpha","alpha.drop.G6.smc.","alpha.drop.average_r","alpha.drop.S.N"
"23-",0.92096018735363,0.926842535681872,0.999999999986642,0.365429984142543,12.6691451695408
"26",0.924264586380627,0.932797702970493,0.999999999987298,0.386852621981109,13.8804437378222
"I-1",0.916190476190476,0.924845335082585,0.999999999986422,0.358710778893098,12.3058939335153
"I-2",0.923264609003294,0.932003672101772,0.999999999987211,0.383868728915819,13.7066765354849
"28-",0.923264609003294,0.932003672101772,0.999999999987211,0.383868728915819,13.7066765354849
"38-",0.924908424908425,0.933524687205009,0.999999999987379,0.389620980145325,14.0431785568874
"92-",0.931216931216931,0.93505826663221,0.999999999987549,0.395578137740089,14.3984186768871
"II-7-",0.920802005012531,0.931086556511904,0.999999999987111,0.380472902027215,13.5109567797572
"III-1",0.911590992986342,0.923111664174619,0.999999999986233,0.353052944154504,12.0058738983643
"III-3",0.920802005012531,0.931086556511904,0.999999999987111,0.380472902027215,13.5109567797572
"III-5-",0.920802005012531,0.931086556511904,0.999999999987111,0.380472902027215,13.5109567797572
"89-",0.915021854152289,0.925723416902748,0.999999999986519,0.361637797946639,12.4631933551746
"42",0.915117639412453,0.922259010965973,0.999999999986136,0.350327719525337,11.8632271395762
"83",0.915117639412453,0.922259010965973,0.999999999986136,0.350327719525337,11.8632271395762
"62-",0.920462387853692,0.929002718581427,0.999999999986879,0.372952232237124,13.0850463569779
"58",0.916190476190476,0.924845335082585,0.999999999986422,0.358710778893098,12.3058939335153
"55",0.923264609003294,0.932003672101772,0.999999999987211,0.383868728915819,13.7066765354849
"V-2",0.915117639412453,0.922259010965973,0.999999999986136,0.350327719525337,11.8632271395762
"28.1",0.923264609003294,0.932003672101772,0.999999999987211,0.383868728915819,13.7066765354849
"VII-3",0.910881621724995,0.922259010965973,0.999999999986136,0.350327719525337,11.8632271395762
"VII-6",0.916190476190476,0.924845335082585,0.999999999986422,0.358710778893098,12.3058939335153
"VII-7-",0.911590992986342,0.923111664174619,0.999999999986233,0.353052944154504,12.0058738983643
"VII-9-",0.919770893432,0.929995519613142,0.99999999998699,0.376502062850348,13.2847999795701
